ID,Name,Weight,Value
0001afb2,16 Accords of Madness v.VI,1,25
0001afb3,16 Accords of Madness v.IX,1,25
0001afb1,16 Accords of Madness v.XII,1,25
0001afd9,2920 Morning Star v1,1,50
0001b010,2920 Sun's Dawn v2,1,60
0001ace5,2920 First Seed v3,1,11
0001b017,2920 Rain's Hand v4,1,55
0001b025,2920 Second Seed v5,1,60
0001aff7,2920 Midyear v6,1,70
0001b00c,2920 Sun's Height v7,1,3
0001b01f,2920 Last Seed v8,1,75
0001afe9,2920 Hearth Fire v9,1,50
0001afea,2920 Frostfall v10,1,50
0001ace3,2920 Sun's Dusk v11,1,11
0001ace4,2920 Evening Star v12,1,11
04030c9a,A Letter to Selina I,0,5
04030c9b,A Letter to Selina II,0,5
04030c9c,A Letter to Selina III,0,5
04030c9d,A Letter to Selina IV,0,5
04033c7d,A Note,0,0
000f6928,A Warning,0,0
000ed03a,An Accounting of the Scrolls,1,20
0001af94,The Adabal-a,1,25
000f6843,Admonition Against Ebony,1,5
000403af,Adonato's Book,1,40
0403a4dd,Adril's Survey Results,0,0
0001b01c,Advances in Lockpicking,1,75
000d95e3,Adventurer's Journal,1,5
0001b22c,Aedra and Daedra,1,5
00090e52,Aeri's Note,0,0
02004d5b,The Aetherium Wars,1,15
0001ace6,Aevar Stone-Singer,1,60
00045f94,Afflicted's Note,0,0
00083ae8,Agrius's Journal,1,5
04033bd8,Ahzidal's Descent,1,16
0001aff3,Ahzirr Traajijazeri,1,4
00065c35,Aicantar's Lab Journal,1,5
000ce5bd,Alchemist's Journal,1,5
0006df90,Alchemist's Note,0,0
000ae5b0,Alduin is Real,1,8
000ed04b,The Alduin/Akatosh Dichotomy,1,8
000c370e,Alethius's Notes,0,0
000f68a2,All Employees Must Read!,0,0
0002a96d,Alva's Journal,1,5
0005bf2e,Amaund Motierre's Sealed Letter,0,0
000ed03f,Amongst the Draugr,1,14
0001ace1,The Amulet of Kings,1,6
0001b22d,Ancestors and the Dunmer,1,4
000ed441,Ancient Edict,0,0
000ff223,Anders's Message,0,0
000ddfb6,Anise's Letter,0,0
0003636a,Annals of the Dragonguard,1,200
000504ef,Anonymous Letter,0,0
0001b22f,Antecedants of Dwemer Law,1,5
0402826c,The Anticipations,1,14
000f68a4,An Apology,0,0
000eda8f,The Apprentice's Assistant,1,12
0001acfe,Arcana Restored,1,25
0001b25e,The Arcturian Heresy,1,6
0001afd7,Argonian Account Book 1,1,2
0001afe7,Argonian Account Book 2,1,12
0001affc,Argonian Account Book 3,1,3
0001ace8,Argonian Account Book 4,1,12
000f68a8,Argonian Ceremony,0,0
0001afce,The Armorer's Challenge,1,70
00080d63,Arondil's Journal Part 1,1,5
00080d64,Arondil's Journal Part 2,1,5
00080d65,Arondil's Journal Part 3,1,5
00080d66,Arondil's Journal Part 4,1,5
0001afef,The Art of War Magic,1,55
00039654,Arvel's Journal,1,0
040177b5,Spell Tome: Ash Rune,1,635
040177ac,Spell Tome: Ash Shell,1,425
0201aa22,Assassin's Writ,0,0
000ff227,Atlas of Dragons,1,50
0006ce1c,Atronach Forge Manual,1,5
0010f766,Atronach Forge Recipe,0,0
0010f76a,Atronach Forge Recipe,0,0
0010f76f,Atronach Forge Recipe,0,0
0010f769,Atronach Forge Recipe,0,0
0010f779,Atronach Forge Recipe,0,0
0010f77a,Atronach Forge Recipe,0,0
0010f77f,Atronach Forge Recipe,0,0
0010f780,Atronach Forge Recipe,0,0
0010f786,Atronach Forge Recipe,0,0
000f68a0,Attention Employees!,0,0
0402826d,The Axe Man,1,6
0001ace9,Azura and the Box,1,10
000dc176,Balmora Blue Note,0,0
00078dd2,Bandit Leader's Journal,1,5
00083b01,Bandit's Journal,1,5
000dd647,Spell Tome: Bane of the Undead,1,1200
000a26ee,Spell Tome: Banish Daedra,1,346
0002f83c,Battle of Red Mountain,1,50
0001afdc,Battle of Sancre Tor,1,50
0007eb9e,The Bear of Markarth,1,8
0001b012,Before the Ages of Man,1,60
0001afd6,Beggar,1,60
0001acc7,Beggar Prince,1,5
03015d59,The Beginner's Guide to Homesteading,1,10
0201a3e5,The Betrayed,1,20
00021683,Beware the Butcher!,0,0
0001acb5,Biography of Barenziah v1,1,3
0001acb6,Biography of Barenziah v2,1,3
0001acb7,Biography of Barenziah v3,1,3
0001b023,Biography of the Wolf Queen,1,60
0001afc2,The Black Arrow v1,1,2
0001b009,The Black Arrow v2,1,65
0001b011,The Black Arts on Trial,1,25
04016e2c,Black Book: Epistolary Acumen,1,2000
0401e99e,Black Book: Filament and Filigree (book),1,2000
0401e99f,Black Book: The Hidden Twilight (book),1,2000
0401e99d,Black Book: The Sallow Regent (book),1,2000
0401e99c,Black Book: The Winds of Change (book),1,2000
04016e2d,Black Book: Untold Legends (book),1,2000
04016e22,Black Book: Waking Dreams,1,2000
000a270d,Spell Tome: Blizzard,1,1350
000c58a6,Blood Horker Orders,0,0
0402b23a,Bloodstained Letter,0,0
000d397a,Bloodstained Note,0,0
0001b233,Boethiah's Glory,1,25
00032e72,Boethiah's Proving,1,25
00083af6,Bolar's Writ,0,0
04028261,Bone Part I,1,6
04028262,Bone Part II,1,6
0402ad3c,Bonemold Formula,0,0
0001acc8,The Book of Daedra,1,5
00105a52,The Book of Fate,1,40
0400fac2,The Book of Life and Service,1,35
000f86fe,The Book of the Dragonborn,1,12
000a26ed,Spell Tome: Bound Battleaxe,1,99
000a26f1,Spell Tome: Bound Bow,1,335
0401ce07,Spell Tome: Bound Dagger,1,38
0009e2a9,Spell Tome: Bound Sword,1,49
00095129,Bounty (Bandit bounties),0,0
000bd780,Bounty (Forsworn bounties),0,0
000bd791,Bounty (Giant bounties),0,0
000cba9b,Bounty (Dragon bounties),0,0
000bc0a2,Bounty (Bounties on the Dragonborn),0,0
0001b236,Breathing Water,1,60
03003f78,Breezehome Furnishings,0,0
0001acb9,Brief History of the Empire v1,1,2
0001acba,Brief History of the Empire v2,1,2
0001acbb,Brief History of the Empire v3,1,2
0001acbc,Brief History of the Empire v4,1,2
0001acff,Brothers of Darkness,1,30
00024763,Butcher Journal,1,5
00024737,Butcher Journal #1,1,5
00066182,Butcher Journal #2,1,5
0001b00a,The Buying Game,1,60
000ef638,The Cabin in the Woods,1,8
0001b262,The Cake and the Diamond,1,5
000a271b,Spell Tome: Call to Arms,1,1150
000a2711,Spell Tome: Calm,1,91
0009e2a7,Spell Tome: Candlelight,1,44
0002f83b,Catalogue of Armor Enchantments,1,50
0002f83a,Catalogue of Weapon Enchantments,1,50
000ed605,Cats of Skyrim,1,7
000a2708,Spell Tome: Chain Lightning,1,390
0001b237,Chance's Folly,1,6
04028263,Changed Ones,1,11
0001b238,Charwich-Koniinge Letters v1,1,5
0001b239,Charwich-Koniinge v2,1,13
0001b23a,Charwich-Koniinge Letters v3,1,13
0001b23b,Charwich-Koniinge Letters v4,1,20
000ed032,Chaurus Pie: A Recipe,1,11
0001afd1,Cherim's Heart,1,70
0403abcc,Children of the All-Maker,1,11
0001ad03,Children of the Sky,1,25
0001acdf,A Children's Anuad,1,6
0001b22e,Chimarvamidium (non-skillbook),1,20
0001aff8,Chimarvamidium (skillbook),1,70
0001b23c,Chronicles of Nchuleft,1,30
0009dabe,Cicero's Journal - Volume 1,1,25
0009dac1,Cicero's Journal - Volume 2,1,25
0009dac4,Cicero's Journal - Volume 3,1,25
0009dac5,Cicero's Journal - Volume 4,1,25
00019514,Cicero's Journal - Final Volume,1,100
000a2728,Spell Tome: Circle of Protection,1,650
0007ebc2,The City of Stone,1,4
000ff7d1,Spell Tome: Clairvoyance,1,50
0001ad04,Cleansing of the Fane,1,20
0010f64d,Spell Tome: Close Wounds,1,360
0007ebc9,The Code of Malacath,1,6
000a26f6,Spell Tome: Command Daedra,1,660
00083b05,Commander's Note,0,0
04028264,Confessions of a Dunmer Skooma Eater,1,3
02016692,Confessions Of A Khajiit Fur Trader,1,11
0401aaba,Spell Tome: Conjure Ash Guardian,1,720
0401e2b1,Spell Tome: Conjure Ash Spawn,1,338
020045b0,Spell Tome: Conjure Boneman,1,75
0010fd60,Spell Tome: Conjure Dremora Lord,1,730
0009e2ab,Spell Tome: Conjure Familiar,1,49
000a26ec,Spell Tome: Conjure Flame Atronach,1,150
000b45f7,Spell Tome: Conjure Flaming Familiar,1,250
000a26ef,Spell Tome: Conjure Frost Atronach,1,347
020045b1,Spell Tome: Conjure Mistman,1,75
04033c67,Spell Tome: Conjure Seeker,1,307
000a26f0,Spell Tome: Conjure Storm Atronach,1,690
020045b2,Spell Tome: Conjure Wrathman,1,75
03003f7c,Consider Adoption,0,0
0004ef0000035b65,Contract,0,0
000951ae,Cook's Journal,1,5
000ba300,Corpse Note,0,0
0009e2ad,Spell Tome: Courage,1,46
040331c2,Cultists' Orders,0,0
000f5cb9,Cure Disease Potion Recipe,0,10
